Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
方正榜书行繁体 (Regular),方正榜书行繁体,Regular,,,Version 1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7814
方正榜书行简体 (Regular),方正榜书行简体,Regular,,,Version 1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8104
方正榜书楷繁体 (Regular),方正榜书楷繁体,Regular,,,Version 1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7814
方正榜书楷简体 (Regular),方正榜书楷简体,Regular,,,Version 1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8104
方正报宋_GBK (Regular),方正报宋_GBK,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),33,22001,22034
方正报宋繁体 (Regular),方正报宋繁体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7822
方正报宋简体 (Regular),方正报宋简体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正北魏楷书_GBK (Regular),方正北魏楷书_GBK,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),33,22001,22034
方正北魏楷书繁体 (Regular),方正北魏楷书繁体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7822
方正北魏楷书简体 (Regular),方正北魏楷书简体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正标雅宋_GBK (Regular),方正标雅宋_GBK,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),33,22001,22034
方正标雅宋繁体 (Regular),方正标雅宋繁体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7822
方正标雅宋简体 (Regular),方正标雅宋简体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正秉楠圆宋简体 (Regular),方正秉楠圆宋简体,Regular,,,1.06,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8113
方正博雅宋_GBK (Regular),方正博雅宋_GBK,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),33,22001,22034
方正博雅宋繁体 (Regular),方正博雅宋繁体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7822
方正博雅宋简体 (Regular),方正博雅宋简体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正彩云_GBK (Regular),方正彩云_GBK,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),33,10950,10983
方正彩云繁体 (Regular),方正彩云繁体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7822
方正彩云简体 (Regular),方正彩云简体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正藏意汉体简体 (Regular),方正藏意汉体简体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正超粗黑_GBK (Regular),方正超粗黑_GBK,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),33,22001,22034
方正超粗黑繁体 (Regular),方正超粗黑繁体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,7799,7807
方正超粗黑简体 (Regular),方正超粗黑简体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,8089,8097
方正粗等线_GBK (Regular),方正粗等线_GBK,Regular,,,Version 1.10,BDFZ,Regular,5 (Medium),400 (Normal),33,22001,22034
方正粗等线繁体 (Regular),方正粗等线繁体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7822
方正粗等线简体 (Regular),方正粗等线简体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正粗黑繁体 (Regular),方正粗黑繁体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,7799,7807
方正粗黑宋繁体 (Regular),方正粗黑宋繁体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7822
方正粗黑宋简体 (Regular),方正粗黑宋简体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正粗活意_GBK (Regular),方正粗活意_GBK,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),33,10639,10672
方正粗活意繁体 (Regular),方正粗活意繁体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7822
方正粗活意简体 (Regular),方正粗活意简体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正粗金陵繁体 (Regular),方正粗金陵繁体,Regular,,,1.00,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7822
方正粗金陵简体 (Regular),方正粗金陵简体,Regular,,,1.00,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正粗楷简体 (Regular),方正粗楷简体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正粗倩_GBK (Regular),方正粗倩_GBK,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),33,10639,10672
方正粗倩繁体 (Regular),方正粗倩繁体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,7799,7807
方正粗倩简体 (Regular),方正粗倩简体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,8089,8097
方正粗宋_GBK (Regular),方正粗宋_GBK,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),33,10639,10672
方正粗宋繁体 (Regular),方正粗宋繁体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7822
方正粗宋简体 (Regular),方正粗宋简体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正粗谭黑繁体 (Regular),方正粗谭黑繁体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,7799,7807
方正粗谭黑简体 (Regular),方正粗谭黑简体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,8089,8097
方正粗雅宋_GBK (Regular),方正粗雅宋_GBK,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),33,22001,22034
方正粗雅宋繁体 (Regular),方正粗雅宋繁体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7822
方正粗雅宋简体 (Regular),方正粗雅宋简体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正粗圆_GBK (Regular),方正粗圆_GBK,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),33,22001,22034
方正粗圆繁体 (Regular),方正粗圆繁体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,7799,7807
方正粗圆简体 (Regular),方正粗圆简体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,8089,8097
方正粗圆宋简体 (Regular),方正粗圆宋简体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),32,8268,8269
方正大标宋_GBK (Regular),方正大标宋_GBK,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),33,16802,16835
方正大标宋繁体 (Regular),方正大标宋繁体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7822
方正大标宋简体 (Regular),方正大标宋简体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正大草简体 (Regular),方正大草简体,Regular,,,1.02,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正大黑_GBK (Regular),方正大黑_GBK,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),33,22001,22034
方正大黑繁体 (Regular),方正大黑繁体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,7799,7807
方正大黑简体 (Regular),方正大黑简体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,8089,8097
方正大魏体简体 (Regular),方正大魏体简体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,7696,7704
方正大雅宋_GBK (Regular),方正大雅宋_GBK,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),33,22001,22034
方正大雅宋繁体 (Regular),方正大雅宋繁体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7822
方正大雅宋简体 (Regular),方正大雅宋简体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正德赛黑515简体 (Regular),方正德赛黑515简体,Regular,,,1.02,BDFZ,Regular,5 (Medium),400 (Normal),29,7696,7704
方正方魅简体 (Regular),方正方魅简体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,7711,7758
方正仿宋_GBK (Regular),方正仿宋_GBK,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),33,22001,22034
方正仿宋繁体 (Regular),方正仿宋繁体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7822
方正仿宋简体 (Regular),方正仿宋简体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正粉丝天下简体 (Regular),方正粉丝天下简体,Regular,,,Version 1.00,BDFZ,Regular,5 (Medium),400 (Normal),29,7711,7711
方正工业黑简体 (Regular),方正工业黑简体,Regular,,,1.00,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正古仿繁体 (Regular),方正古仿繁体,Regular,,,1.00,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7822
方正古仿简体 (Regular),方正古仿简体,Regular,,,1.00,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正古隶_GBK (Regular),方正古隶_GBK,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),33,10639,10672
方正古隶繁体 (Regular),方正古隶繁体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,7814,7822
方正古隶简体 (Regular),方正古隶简体,Regular,,,5.30,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正汉简简体 (Regular),方正汉简简体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,8104,8112
方正汉真广标简体 (Regular),方正汉真广标简体,Regular,,,1.10,BDFZ,Regular,5 (Medium),400 (Normal),29,7696,7704
