FZBeiWeiKaiShuB-S19	方正北魏楷书_Big5
FZBoYaSongB	方正博雅宋_Big5
FZCaiYunB-M09	方正彩雲
FZChaoCuHeiB-M10	方正超粗黑
FZCuHeiB-B03	方正粗黑
FZCuYuanB-M03	方正粗圓
FZDaBiaoSongB-B06	方正大標宋
FZFangSongB-Z02	方正仿宋
FZHeiB-B01	方正黑體
FZHuPoB-M04	方正琥珀
FZJBaoSong-Z04	方正簡報宋
FZJCaiYun-M09	方正簡彩雲
FZJChaoCuHei-M10	方正簡超粗黑
FZJCuQian-M17	方正簡粗倩
FZJCuSong-B09	方正簡粗宋
FZJCuYuan-M03	方正簡粗圓
FZJDaBiaoSong-B06	方正簡大標宋
FZJDaHei-B02	方正簡大黑
FZJFangSong-Z02	方正簡仿宋
FZJGuLi-S12	方正簡古隸
FZJHei-B01	方正簡黑體
FZJHuaLi-M14	方正簡華隸
FZJHuangCao-S09	方正簡黃草
FZJHuPo-M04	方正簡琥珀
FZJKai-Z03	方正簡楷體
FZJKangTi-S07	方正簡康體
FZJKaTong-M19	方正簡卡通
FZJLiBian-S02	方正簡隸變
FZJLiShuII-S06	方正簡隸二
FZJLiShu-S01	方正簡隸書
FZJMeiHei-M07	方正簡美黑
FZJNewBaoSong-Z12	方正簡新報宋
FZJNewShuTi-S08	方正簡新舒體
FZJPangWa-M18	方正簡胖娃
FZJPingHe-S11	方正簡平和
FZJQiTi-S14	方正簡啟體
FZJShaoEr-M11	方正簡少儿
FZJShouJinShu-S10	方正簡瘦金書
FZJShuiHei-M21	方正簡水黑
FZJShuiZhu-M08	方正簡水柱
FZJShuSong-Z01	方正簡書宋
FZJShuTi-S05	方正簡舒體
FZJSongHei-B07	方正簡宋黑
FZJSongIII-Z05	方正簡宋三
FZJSongYi-Z13	方正簡宋一
FZJWeiBei-S03	方正簡魏碑
FZJXiaoBiaoSong-B05	方正簡小標宋
FZJXiDengXian-Z06	方正簡細等線
FZJXiHeiI-Z08	方正簡細黑一
FZJXingKai-S04	方正簡行楷
FZJXiQian-M15	方正簡細倩
FZJXiShanHu-M13	方正簡細珊瑚
FZJXiYuan-M01	方正簡細圓
FZJYaoTi-M06	方正簡姚體
FZJYiHei-M20	方正簡藝黑
FZJYingBiKaiShu-S15	方正簡硬筆楷書
FZJYingBiXingShu-S16	方正簡硬筆行書
FZJYouXian-Z09	方正簡幼線
FZJZhanBiHei-M22	方正簡氈筆黑
FZJZhongDengXian-Z07	方正簡中等線
FZJZhongQian-M16	方正簡中倩
FZJZhunYuan-M02	方正簡準圓
FZJZongYi-M05	方正簡綜藝
FZKaiB-Z03	方正楷體
FZLanTingHei-B-BIG5	方正蘭亭粗黑_BIG5
FZLanTingHei-DB-BIG5	方正蘭亭中黑_BIG5
FZLanTingHei-EB-BIG5	方正蘭亭大黑_BIG5
FZLanTingHei-EL-BIG5	方正蘭亭纖黑_BIG5
FZLanTingHei-H-BIG5	方正蘭亭特黑_BIG5
FZLanTingHei-L-BIG5	方正蘭亭細黑_BIG5
FZLanTingHei-M-BIG5	方正蘭亭准黑_BIG5
FZLanTingHei-R-BIG5	方正蘭亭黑_BIG5
FZLanTingHeiS-DB1-BIG5	方正蘭亭中粗黑_BIG5
FZLanTingHei-UL-BIG5	方正蘭亭超細黑_BIG5
FZLiBianB-S02	方正隸變
FZNew ShuSongB-Z10	方正新書宋
FZNew XiuLiB-Z11	方正新秀麗
FZPingHeiB-B04	方正平黑
FZShuTiB-S05	方正舒體
FZWeiBeiB-S03	方正魏碑
FZXiaoBiaoSongB-B05	方正小標宋
FZXiHei IB-Z08	方正細黑一
FZXingKaiB-S04	方正行楷
FZXiuLiB-Z13	方正秀麗
FZXiYuanB-M01	方正細圓
FZYaSong-B-BIG5	方正粗雅宋_BIG5
FZYaSong-DB1-BIG5	方正中粗雅宋_BIG5
FZYaSong-DB-BIG5	方正中雅宋_BIG5
FZYaSong-EB-BIG5	方正大雅宋_BIG5
FZYaSong-EL-BIG5	方正纖雅宋_BIG5
FZYaSong-H-BIG5	方正特雅宋_BIG5
FZYaSong-L-BIG5	方正細雅宋_BIG5
FZYaSong-M-BIG5	方正准雅宋_BIG5
FZYaSong-R-BIG5	方正黑雅宋_BIG5
FZYouXianB-Z09	方正幼線
FZZhongKaiB-B08	方正中楷
FZZhunYuanB-M02	方正準圓
FZZongYiB-M05	方正綜藝
